sta,rad/dist,dir,deg,m,sec,STATION,NORTHING,EASTING,RADIUS,DISTANCE,BEARING,ID,PARENT,BACK,FORWARD
,Alignment datum,,,,,,0,0,,,,IL 2,,,
,Station equation,,,,,,,,,,,,,148292.43,0
113050,1333.75,NE,87,38,53.2538,113050,,,0,0,87.6481260555556,,,,
114383.75,1008.7,L,48,48,34,,,,1008.7,1333.75,48.8094444444444,,,,
115243.04,2000,L,8,55,27,,,,2000,859.289999999994,8.92416666666667,,,,
115554.55,902.2217,NE,29,54,52.3658,,,,0,902.2217,29.9145460555556,,,,
116456.78,3800,L,40,40,25,,,,3800,0,40.6736111111111,,,,
119154.36,255.9336,NW,10,45,33,,,,0,255.9336,10.7591666666667,,,,
119410.29,2300,R,10,6,26,,,,2300,0,10.1072222222222,,,,
119816.03,201.6766,NW,0,39,6.8375,,,,0,201.6766,0.651899305555556,,,,
120017.7,4000,R,6,49,16,,,,4000,0,6.82111111111111,,,,
120493.91,2000,R,2,51,53,,,,2000,0,2.86472222222222,,,,
121131.4,253.6517,NE,24,25,55.6296,,,,0,253.6517,24.4321193333333,,,,
121385.05,1585.53,L,29,20,28,,,,1585.53,0,29.3411111111111,,,,
122297.01,339.3079,NW,4,54,32.4702,,,,0,339.3079,4.9090195,,,,
122536.31,3600,R,17,53,3,,,,3600,0,17.8841666666667,,,,
123660.01,828.5186,NE,12,58,30.3747,,,,0,828.5186,12.9751040833333,,,,
124488.52,6000,R,13,53,58,,,,6000,0,13.8994444444444,,,,
125944.07,3500,R,9,20,51,,,,3500,0,9.3475,,,,
126516.09,2997.8808,NE,36,13,19.8817,,,,0,2997.8808,36.2221893611111,,,,
129512.97,4000,R,4,58,58,,,,4000,0,4.98277777777778,,,,
129860.83,92,NE,41,12,18.045,,,,0,92,41.2050125,,,,
129952.83,10000,L,2,51,52,,,,10000,0,2.86444444444444,,,,
130452.79,617.5969,NE,38,20,25.7454,,,,0,617.5969,38.3404848333333,,,,
131070.39,2000,R,19,52,59,,,,2000,0,19.8830555555556,,,,
131764.44,756.4394,NE,58,13,24.8898,,,,0,756.4394,58.2235805,,,,
132520.88,3814.39,R,14,5,57,,,,3814.39,0,14.0991666666667,,,,
133459.51,2257.87,R,34,33,42,,,,2257.87,0,34.5616666666667,,,,
134821.49,20871.37,SE,73,6,56.345,,,,0,20871.37,73.1156513888889,,,,
135030.2,2815,L,37,50,9,,,,2815,0,37.8358333333333,,,,
136889.11,1423.3513,NE,69,2,54.5005,,,,0,1423.3513,69.0484723611111,,,,
138885.55,1520,L,36,50,28,,,,1520,0,36.8411111111111,,,,
139862.91,200,NE,32,12,26.4411,,,,0,200,32.20734475,,,,
140062.91,2100,R,11,28,22,,,,2100,0,11.4727777777778,,,,
140483.4,1694.6828,NE,43,40,48.2096,,,,0,1694.6828,43.6800582222222,,,,
142178.09,2500,R,39,59,0,,,,2500,0,39.9833333333333,,,,
143922.68,236,NE,83,39,47.9179,,,,0,236,83.6633105277778,,,,
144158.68,3375,L,19,31,20,,,,3375,0,19.5222222222222,,,,
14530864,1380.6838,NE,64,8,27.9815,,,,0,1380.6838,64.1411059722222,,,,
146689.32,2293.84,R,16,32,54,,,,2293.84,0,16.5483333333333,,,,
14735183,940.6015,NE,80,41,21.8891,,,,0,940.6015,80.6894136388889,,,,
0,2335.46,NE,80,41,21.8891,,,,0,2335.46,80.6894136388889,,,,
2335.46,6000,R,7,25,36,,,,6000,0,7.42666666666667,,,,
311317,226.2769,NE,88,6,57.6943,,,,0,226.2769,88.1160261944445,,,,
3539.45,1800,L,10,11,1,,,,1800,0,10.1836111111111,,,,
3659.38,313.8131,NE,77,55,56.8855,,,,0,313.8131,77.9324681944445,,,,
3973.19,1800,L,15,26,54,,,,1800,0,15.4483333333333,,,,
4458.51,20000,R,1,27,7,,,,20000,0,1.45194444444444,,,,
4965.36,817.98,NE,63,56,10.2388,,,,0,817.98,63.9361774444444,,,,
5783.34,2883.78,L,13,30,49,,,,2883.78,0,13.5136111111111,,,,
6463.51,405.4091,NE,50,25,20.8796,,,,0,405.4091,50.4224665555556,,,,
6868.92,3375,R,34,24,43,,,,3375,0,34.4119444444444,,,,
8895.94,1429.7284,NE,84,50,3.7483,,,,0,1429.7284,84.8343745277778,,,,
10325.67,3687.8,L,17,55,7,,,,3687.8,0,17.9186111111111,,,,
11478.98,733.4435,NE,66,54,57.1901,,,,0,733.4435,66.9158861388889,,,,
12214.42,3400,L,33,13,38,,,,3400,0,33.2272222222222,,,,
14184.17,610.89,NE,33,41,19.0469,,,,0,610.89,33.6886241388889,,,,
14795.06,4656.43,R,4,34,58,,,,4656.43,0,4.58277777777778,,,,
15167.51,285.8636,NE,38,16,17.3733,,,,0,285.8636,38.2714925833333,,,,
15453.37,2855.9299,L,11,40,12,,,,2855.9299,0,11.67,,,,
16035.07,314,NE,26,36,5.08754,,,,0,314,26.6014132055556,,,,
16349.07,4000,R,18,43,14,,,,4000,0,18.7205555555556,,,,
17656.01,7200,R,8,33,30,,,,7200,0,8.55833333333333,,,,
18731.5,260.4611,NE,53,52,49.5475,,,,0,260.4611,53.8804298611111,,,,
18991.96,4149.52,L,11,30,23,,,,4149.52,0,11.5063888888889,,,,
19825.28,294.0792,NE,42,22,26.789,,,,0,294.0792,42.3741080555556,,,,
20119.36,950,R,24,16,10,,,,950,0,24.2694444444444,,,,
20521.76,221,NE,66,38,36.9943,,,,0,221,66.6436095277778,,,,
40000,430,NW,2,27,39.2519,40000,,,0,430,2.46090330555556,Union St,IL 2,40000,113214.23
126433.69,724.3802,SE,2,27,39.2519,126433.69,,,0,724.3802,2.46090330555556,IL 72,IL 2,126433.69,113214.23
41785.66,627.6679,NW,2,36,16.488,41785.66,,,0,627.6679,2.60458,Chestnut St,IL 2,42000,113653.6592
43803.25,599.2619,NW,2,42,56.6138,43803.25,,,0,599.2619,2.71572605555556,Market St,IL 2,44000,114094.9939
