sta,rad/dist,dir,deg,m,sec,deg_dec,BEARING,curve_tangent,curve length,tangent,NORTHING,EASTING,RADIUS,DISTANCE,ID,PARENT_ID,BACK,FORWARD
,Alignment datum,,,,,,,,,,0,0,,,IL 2,,,113050
,Station equation,,,,,,,,,,,,,,,,148292.43,0
114383.75,1008.7,L,48,48,34,48.80944444,87.64805556,457.6668591,859.2969155,1333.75,,,1008.7,1791.416859,,,,
115243.04,2000,L,8,55,27,8.924166667,38.83861111,156.0717435,311.5121827,-3.01E-08,,,2000,613.7386026,,,,
116456.78,3800,L,40,40,25,40.67361111,29.91444444,1408.438397,2697.576044,902.2217003,,,3800,2466.731841,,,,
119410.29,2300,R,10,6,26,10.10722222,349.2408333,203.3926648,405.7299037,255.9336,,,2300,1867.764662,,,,
120017.7,4000,R,6,49,16,6.821111111,359.3480556,238.3833142,476.2033901,201.6766,,,4000,643.452579,,,,
120493.91,2000,R,18,15,47,18.26305556,6.169166667,321.4769591,637.500902,3.81E-08,,,2000,559.8602734,,,,
121385.05,1585.53,L,29,20,28,29.34111111,24.43222222,415.0852392,811.9483196,253.6517,,,1585.53,990.2138983,,,,
122536.31,3600,R,17,53,2,17.88388889,355.0911111,566.44534,1123.677879,339.3078999,,,3600,1320.838479,,,,
124488.52,6000,R,13,53,58,13.89944444,12.97499999,731.3634865,1455.546418,828.5185996,,,6000,2126.327426,,,,
125944.07,3500,R,9,20,51,9.3475,26.87444444,286.1380809,571.0062814,0.008540628,,,3500,1017.510108,,,,
129512.97,4000,R,4,58,58,4.982777778,36.22222222,174.0414606,347.8635125,2997.893719,,,4000,3458.07326,,,,
129952.83,10000,L,2,51,52,2.864444444,41.205,250.0220115,499.9398679,91.99999997,,,10000,516.0634721,,,,
131070.39,2000,R,19,52,59,19.88305556,38.34055556,350.5498146,694.0495698,617.5968999,,,2000,1218.168726,,,,
132520.88,3814.39,R,14,5,57,14.09916667,58.22361111,471.6992677,938.633191,756.4393997,,,3814.39,1578.688482,,,,
133459.51,2257.87,R,34,33,42,34.56166667,72.32277778,702.4197007,1361.980777,-3.35E-07,,,2257.87,1174.118968,,,,
135030.2,2815,L,37,50,9,37.83583333,106.8844444,964.7734753,1858.913025,208.7100001,,,2815,1875.903176,,,,
138885.55,1520,L,36,50,29,36.84138889,69.04861111,506.2465299,977.3653765,1996.44,,,1520,3467.460005,,,,
140062.91,2100,R,11,28,22,11.47277778,32.20722222,210.9549614,420.4992679,200,,,2100,917.2014913,,,,
142178.09,2500,R,39,59,0,39.98333333,43.68,909.5138281,1744.602031,1694.6828,,,2500,2815.151589,,,,
144158.68,3375,L,19,31,20,19.52222222,83.66333333,580.6049112,1149.953811,235.9999997,,,3375,1726.118739,,,,
146689.32,2293.84,R,16,32,54,16.54833333,64.14111111,333.5788858,662.5135263,1380.6838,,,2293.84,2294.867597,,,,
148292.4,,,,,,0,80.68944444,0,0,940.5664737,,,0,1274.145359,,,,
,,,,,,,,,20006.31219,15236.08173,,,,,,,,
,,,,,,,,35242.43,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,69.041439,,,,,,,,,,,
,,,,,,,32.2002396,,,,,,,,,,,
