NORTHING,EASTING,BEARING,DISTANCE,DEGREE,RADIUS,BACK,FORWARD,PARENT_ID,ID,,,
,,,,,,,50000,,Sugar Grove Road,,,
,,139.3986,930,,670,,,,,,,
,,89.08250,1850.00000,8.551608883,,,,,,,,
,,180.58080,1680.00000,,670,,,,,,,
,,137.29639,644.04800,,0,,,,,,,
,,,,,,,1000,,Penrose Road W,,,
,,,,,,50909,1000,Sugar Grove Road,,,,
,,244.64028,154.097,,175,,,,,,,
,,270.00000,559.02600,,0,,,,,,,
,,,,,,,2000,,Penrose Road E,,,
,,,,,,52586.22,3008.866,Sugar Grove Road,,,,
,,270,429.658,,175,,,,,,,
,,224.9725,312.032,,0,,,,,,,
